gsr,b_temp,hr,f_ex,stress_level
1.3094116295437042,89.42370619917538,112.35815430533866,sad,79.14537389361796
1.442246525205563,89.16066383555878,115.7784623658723,happy,89.15084844965374
1.2254531135338436,89.02785871960832,124.22792940044906,happy,90.16772776832528
1.325466862880641,89.00867255116422,129.48210895165744,sad,96.63824686995022
1.190417427310806,89.74843256032634,114.19900345306984,sad,86.78118847186825
1.1927329102577306,89.27386453704122,113.21542851240513,sad,86.29957305064653
1.413932820874873,89.35417086062495,116.32077908298743,smiling,84.55889465105058
1.204132718639305,89.02269371163804,122.00503465814957,smiling,85.71880110734871
1.36324454168799,89.31144994749337,112.54222283684528,neutral,82.85008118621514
1.4766161666668283,89.61417606139482,110.31776994029292,happy,86.14386689155728
1.0914486483766972,89.92552563261762,121.62208409912138,neutral,90.39635536204294
1.035010648465956,89.92551341902235,116.59040361190114,sad,86.9842949408253
1.0220232620953589,89.33037102052941,110.9527103985631,sad,78.21012902526083
1.4035800011517026,89.52327572130304,110.19704997845008,neutral,83.71462233998379
1.4940205826253,89.32733413067342,119.5828398828563,happy,85.28652148846271
1.4865016881241997,89.46251308955527,111.26079362762464,happy,83.04359075549398
1.2004318261587905,89.60994863049723,126.19487277294574,smiling,92.14636900791008
1.2991723183139743,89.38906164843958,122.7054216081049,happy,91.63134902988804
1.045215571610918,89.85911769064357,121.37068679067679,depressed,87.17609352716282
1.2997470830473783,89.82761269403069,129.26191884279305,smiling,87.05402793246488
1.1547570234157232,89.59809813635721,115.78868720111996,smiling,85.75210286204879
1.2945161286055908,89.80246554728375,117.64157918074496,smiling,81.08397204665326
1.01476672350825,89.96292410289871,111.80492281765126,sad,86.37651841203747
1.278525009504083,89.20539116505675,110.50731257103052,sad,77.45969513856677
1.32023248497785,89.63677321812924,118.4294202333908,sad,83.62208794172841
1.2290233585655757,89.16715846305665,127.56867197752699,happy,90.05178467044809
1.021918196164098,89.08334290245753,113.76653646251381,smiling,81.40118424275265
1.443855840370715,89.19620392711712,111.36646332902755,smiling,79.95976387590156
1.099258168731377,89.5028974589359,125.67555587552306,happy,91.65388193531174
1.3764590723729964,89.38121536383935,111.09060470884602,depressed,80.90115156685629
1.2695336792301843,89.94884683031333,129.5870176792081,neutral,91.60960282892172
1.331809730305827,89.5716131855232,127.32952369015933,smiling,92.45662644694532
1.4390927705245171,89.42542250329373,125.12967955427777,neutral,92.3795633639746
1.0997748892113663,89.54997604116211,121.06867191380653,depressed,88.36366789621019
1.311467311716937,89.2743964350715,129.35167071588347,happy,90.26690086117688
1.4569754594508058,89.68602465060171,126.4485438185674,smiling,94.22459179936274
1.3835422062249265,89.66214828064089,111.37985990800263,depressed,86.53771410825925
1.0271671291161752,89.64205381389047,116.27500228229266,happy,81.76159853611907
1.4205413070822204,89.40875964184364,111.08936142600592,depressed,85.38133687785837
1.010357388811373,89.56694953485416,113.00135153122683,sad,80.6342738165453
1.2866546692242855,89.82289543546801,128.32418609046263,neutral,88.18215981772777
1.0287761885019922,89.03812758841534,120.44707786661243,smiling,82.40297735257252
1.1985453300518807,89.84989359981816,119.80402667465287,neutral,88.11590516887838
1.429201274837288,89.80088709594149,112.60318079822738,happy,86.97467995929262
1.2911762968664173,89.24282971149073,113.97676001456429,neutral,86.81409635621306
1.0117718422146809,89.59611630455437,113.06500858866019,happy,84.01445606358367
1.487687085832834,89.17818447097099,115.55784682792125,smiling,89.37652212221276
1.2245649779274999,89.36549051973265,117.7735020026873,smiling,84.21592163281147
1.4122435508998052,89.36569348736644,112.56850958322897,smiling,81.52977404036197
1.0656585831490026,89.63420349734501,127.96987796997641,neutral,88.38937030350563
2.044799615162316,91.71184748555144,83.20704172921424,happy,66.61410757180764
3.1455139463026436,95.59817593942367,82.0935423948979,depressed,68.38462183776087
2.3783050173553764,97.59696803876267,73.60005594152007,neutral,65.79761577115498
3.8400496254850713,95.62623841161471,78.35859069512784,smiling,66.34595619728219
1.517485575614263,93.40856045798552,83.59044678555193,happy,74.48431130947473
3.521399368915724,95.13850291684591,70.31224051423091,happy,61.57430909953784
2.7602100243487686,96.23260928414818,83.6136326931987,smiling,69.78208878763016
2.8604507238486,95.73717540017081,84.5029611901436,neutral,67.91784501470408
2.1294650028148796,96.4969590452324,73.9008057762007,smiling,70.31417992162736
2.618710437211559,93.89930491438744,88.12137100220052,happy,72.15062846438808
2.1182130588369144,95.8737122582263,64.94545707735618,sad,65.00005725775019
2.5719402926254107,98.09143256176013,84.62328727095779,smiling,71.00460088171693
2.659498530990531,96.30798697191581,78.49989757625154,sad,68.11376921170161
2.3533481961629312,98.37244293847891,70.35942288686918,depressed,67.60153775286179
2.417264478995965,95.31431435485818,78.46548989912363,smiling,70.70961979973875
2.571886185816694,93.99721551951379,82.93344011603796,happy,68.98442760113704
2.5208626469629456,94.58883567230488,63.030322077406886,sad,59.86410814076726
2.3694108109489713,94.18886219835717,84.11117928797181,sad,69.77791247518294
2.8699236607925993,96.42538940190796,62.96562577809915,happy,58.04073711854221
1.4598444332420908,95.70609480602376,90.95516797856914,depressed,73.28643019997251
2.586060999608546,92.28294201388206,92.98298913874955,depressed,77.83858353732067
2.294829701914696,96.33101184588465,76.28614217400283,smiling,63.42985875493703
